index,Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
9015,NS,47000.0,6506,Deputy Criminal Ct Clerk 5,Criminal Court Clerk,Fulltime,Administrative support,M,Two or more,1973,2023-04-03,N,Davidson,2024,51,50-54,2023,1
9017,TG07,40293.33,10848,Maintenance & Repair Worker,NDOT,Fulltime,Service/Maintenance,M,Black,1982,2023-04-03,N,Davidson,2024,42,40-44,2023,1
9019,CA01,41600.0,10710,Security & Parking Off 2-MCC,Convention Center Authority,Fulltime,Service/Maintenance,M,Black,2001,2023-04-03,N,Davidson,2024,23,20-24,2023,1
9021,OR04,62595.96,7376,Program Mgr 1,Public Library,Fulltime,Professionals,M,Black,1974,2023-04-03,Y,Davidson,2024,50,50-54,2023,1
9023,OR04,68900.0,7756,Technical Specialist 1,NDOT,Fulltime,Professionals,M,White,1976,2023-04-03,N,Davidson,2024,48,45-49,2023,1
9024,MAC05D,45000.0,10796,EHS Teacher-MAC,Metro Action Commission,Fulltime,Professionals,F,Black,1992,2023-04-03,N,Davidson,2024,32,30-34,2023,1
9025,MAC02A,40809.6,10216,Custodian,Metro Action Commission,Fulltime,Service/Maintenance,F,Black,1970,2023-04-04,N,Davidson,2024,54,50-54,2023,1
9028,ST07,42425.32,11039,Equipment & Supply Clk Sr,Health,Fulltime,Administrative support,M,White,1989,2023-04-10,N,Davidson,2024,35,35-39,2023,1
9030,NS,45000.0,6506,Deputy Criminal Ct Clerk 5,Criminal Court Clerk,Fulltime,Administrative support,F,Black,1988,2023-04-10,N,Davidson,2024,36,35-39,2023,1
9032,TS10,71129.65,7327,Maint & Repair Supv,State Fair Board,Fulltime,Service/Maintenance,M,Black,1969,2023-04-10,Y,Davidson,2024,55,55-59,2023,1
9033,OR03,55729.1,11214,Enviromental Health Specialist,Health,Fulltime,Professionals,F,White,1991,2023-04-10,N,Davidson,2024,33,30-34,2023,1
9035,OR05,84519.5,7245,Admin Svcs Officer 4,Arts Commission,Fulltime,Professionals,M,White,1975,2023-04-10,Y,Davidson,2024,49,45-49,2023,1
9036,OR03,56565.04,7380,Program Spec 3,Social Services,Fulltime,Professionals,F,Black,1994,2023-04-10,N,Davidson,2024,30,30-34,2023,1
9037,TG07,40293.33,10848,Maintenance & Repair Worker,Parks,Fulltime,Service/Maintenance,M,Black,1990,2023-04-14,N,Davidson,2024,34,30-34,2023,1
9039,TG12,51011.48,10838,Equipment Operator Senior,Water Services,Fulltime,Service/Maintenance,M,White,1999,2023-04-15,N,Davidson,2024,25,25-29,2023,1
9041,OR05,73493.8,10758,Public Health Nurse 1,Health,Fulltime,Professionals,M,White,1964,2023-04-15,N,Davidson,2024,60,60-64,2023,1
9043,ST07,42425.32,10833,Customer Service Field Rep,Water Services,Fulltime,Service/Maintenance,M,White,1986,2023-04-15,N,Davidson,2024,38,35-39,2023,1
9044,TG11,48919.43,6229,Treatment Plant Tech 1,Water Services,Fulltime,Skilled craft workers,M,Black,1977,2023-04-15,N,Davidson,2024,47,45-49,2023,1
9045,OR04,69064.38,10851,Police Crisis Counselor,Police,Fulltime,Professionals,F,White,1994,2023-04-16,Y,Davidson,2024,30,30-34,2023,1
9047,PS02,60501.08,6872,Police Officer 1,Police,Fulltime,Protective service workers,M,White,1997,2023-04-16,N,Davidson,2024,27,25-29,2023,1
9048,PS02B,64131.15,6872,Police Officer 1,Police,Fulltime,Protective service workers,M,White,1997,2023-04-16,N,Davidson,2024,27,25-29,2023,1
9052,OR03,57400.97,6919,Info Sys Comm Tech 2,Police,Fulltime,Technicians,F,White,1985,2023-04-16,N,Davidson,2024,39,35-39,2023,1
9054,ST06,40200.79,11189,Police Support Technician,Police,Fulltime,Administrative support,F,Black,1997,2023-04-16,N,Davidson,2024,27,25-29,2023,1
9057,OR01,48699.02,7243,Admin Svcs Officer 2,Codes Administration,Fulltime,Professionals,F,Black,1955,2023-04-17,N,Davidson,2024,69,65-69,2023,1
9058,PK01,60501.08,6525,Park Police 1,Parks,Fulltime,Protective service workers,M,Black,2001,2023-04-17,N,Davidson,2024,23,20-24,2023,1
9059,TG07,40293.33,10848,Maintenance & Repair Worker,NDOT,Fulltime,Service/Maintenance,M,Black,1998,2023-04-17,N,Davidson,2024,26,25-29,2023,1
9060,ST05,41620.67,11040,Office Support Rep,District Attorney,Fulltime,Administrative support,F,Black,2001,2023-04-17,N,Davidson,2024,23,20-24,2023,1
9061,MAC08D,48685.0,11240,Family Centered Coach-MAC,Metro Action Commission,Fulltime,Professionals,F,Black,1973,2023-04-17,N,Davidson,2024,51,50-54,2023,1
9062,OR09,134000.0,6524,Assessments Manager,Assessor of Property,Fulltime,Officials and administrators,M,White,1972,2023-04-17,N,Davidson,2024,52,50-54,2023,1
9066,TG10,46712.75,10837,Equipment Operator,NDOT,Fulltime,Service/Maintenance,M,Black,1983,2023-04-17,N,Davidson,2024,41,40-44,2023,1
9069,TG12,51011.48,10838,Equipment Operator Senior,NDOT,Fulltime,Service/Maintenance,M,Black,1967,2023-04-17,N,Davidson,2024,57,55-59,2023,1
9070,OR01,50038.25,7243,Admin Svcs Officer 2,Juvenile Court,Fulltime,Professionals,F,Black,1968,2023-04-17,N,Davidson,2024,56,55-59,2023,1
9071,MAC05D,45000.0,10796,EHS Teacher-MAC,Metro Action Commission,Fulltime,Professionals,F,Black,1994,2023-04-17,N,Davidson,2024,30,30-34,2023,1
9072,ST07,42425.32,6880,Recreation Leader,Parks,Fulltime,Paraprofessionals,M,White,1989,2023-04-18,N,Davidson,2024,35,35-39,2023,1
9073,OR07,109180.0,7242,Admin Svcs Mgr,Trustee,Fulltime,Officials and administrators,M,Black,1978,2023-04-18,Y,Davidson,2024,46,45-49,2023,1
9074,OR01,48699.02,10904,Nutrition Educator,Health,Fulltime,Professionals,F,White,2000,2023-04-24,N,Davidson,2024,24,20-24,2023,1
9076,HD03,206227.29,7424,Medical Doctor,Health,Fulltime,Professionals,F,Black,1955,2023-04-24,Y,Davidson,2024,69,65-69,2023,1
9077,ST07,43839.47,10123,Office Support Spec 1,County Clerk,Fulltime,Administrative support,M,Black,1996,2023-04-24,N,Davidson,2024,28,25-29,2023,1
9078,TG09,44735.36,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,White,1959,2023-04-25,N,Davidson,2024,65,65-69,2023,1
9080,ST07,48081.9,7751,Police Security Guard 1,Police,Fulltime,Protective service workers,F,White,1971,2023-04-26,N,Davidson,2024,53,50-54,2023,1
9086,TG07,40293.33,10832,Custodian,Parks,Fulltime,Service/Maintenance,F,Black,1984,2023-04-28,N,Davidson,2024,40,40-44,2023,1
9087,ST07,42425.32,10163,Service Rep 2,Water Services,Fulltime,Administrative support,F,White,1975,2023-04-29,N,Davidson,2024,49,45-49,2023,1
9090,TG10,46712.75,11173,Apprentice,Water Services,Fulltime,Skilled craft workers,M,Black,1991,2023-04-29,N,Davidson,2024,33,30-34,2023,1
9091,TG10,46712.75,11173,Apprentice,Water Services,Fulltime,Skilled craft workers,M,White,1997,2023-04-29,N,Davidson,2024,27,25-29,2023,1
9092,ST07,42425.32,10163,Service Rep 2,Water Services,Fulltime,Administrative support,F,Black,1989,2023-04-29,N,Davidson,2024,35,35-39,2023,1
9093,TG16,59551.62,6176,Indust Electronics Tech 1,Water Services,Fulltime,Technicians,M,Black,1998,2023-04-29,N,Davidson,2024,26,25-29,2023,1
9094,TG14,55166.91,6184,Indust Mechanic 1,Water Services,Fulltime,Skilled craft workers,F,White,1981,2023-04-29,N,Davidson,2024,43,40-44,2023,1
9098,NS,85444.0,390,Asst District Attorney,District Attorney,Fulltime,Professionals,F,Black,1994,2023-05-01,N,Davidson,2024,30,30-34,2023,1
9102,ST05,42809.8,11040,Office Support Rep,Public Library,Fulltime,Administrative support,F,Black,1978,2023-05-01,N,Davidson,2024,46,45-49,2023,1
9104,ST06,40200.79,10756,Inmate Prop Clerk-DCSO,Sheriff,Fulltime,Administrative support,F,Asian,1970,2023-05-01,N,Davidson,2024,54,50-54,2023,1
9105,ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Two or more,1995,2023-05-01,N,Davidson,2024,29,25-29,2023,1
9106,ET02,47639.57,10408,Emer Telecommunications Off 2,Emergency Communications,Fulltime,Administrative support,F,White,1993,2023-05-01,N,Davidson,2024,31,30-34,2023,1
9110,OR03,55729.1,7380,Program Spec 3,Office of Homeless Services,Fulltime,Professionals,F,Black,1968,2023-05-01,N,Davidson,2024,56,55-59,2023,1
9114,OR04,63209.65,10470,Information Sys Media Analys 1,District Attorney,Fulltime,Professionals,F,White,1993,2023-05-01,N,Davidson,2024,31,30-34,2023,1
9116,OR01,48699.02,7243,Admin Svcs Officer 2,General Services,Fulltime,Professionals,F,Black,1991,2023-05-01,N,Davidson,2024,33,30-34,2023,1
9117,ET02,47639.57,10408,Emer Telecommunications Off 2,Emergency Communications,Fulltime,Administrative support,F,Black,2001,2023-05-01,N,Davidson,2024,23,20-24,2023,1
9119,PS02B,64131.15,6872,Police Officer 1,Police,Fulltime,Protective service workers,M,White,2000,2023-05-01,N,Davidson,2024,24,20-24,2023,1
9120,CO02,55729.1,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,F,Black,1987,2023-05-01,N,Davidson,2024,37,35-39,2023,1
9121,CO02,55729.1,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,F,Black,1999,2023-05-01,N,Davidson,2024,25,25-29,2023,1
9123,MAC01,40435.2,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1999,2023-05-01,N,Davidson,2024,25,25-29,2023,1
9125,ST07,42425.32,11273,Utility Customer Care Agent 1,Water Services,Fulltime,Technicians,F,Black,1980,2023-05-01,N,Davidson,2024,44,40-44,2023,1
9126,ET02,47639.57,10408,Emer Telecommunications Off 2,Emergency Communications,Fulltime,Administrative support,M,Black,1992,2023-05-01,N,Davidson,2024,32,30-34,2023,1
9128,PS02B,64131.15,6872,Police Officer 1,Police,Fulltime,Protective service workers,M,White,1994,2023-05-01,N,Davidson,2024,30,30-34,2023,1
9137,ET02,47639.57,10408,Emer Telecommunications Off 2,Emergency Communications,Fulltime,Administrative support,F,Hispanic,1998,2023-05-01,N,Davidson,2024,26,25-29,2023,1
9139,TG07,40293.33,10848,Maintenance & Repair Worker,NDOT,Fulltime,Service/Maintenance,M,Black,1974,2023-05-01,N,Davidson,2024,50,50-54,2023,1
9140,ET02,47639.57,10408,Emer Telecommunications Off 2,Emergency Communications,Fulltime,Administrative support,F,Black,1995,2023-05-01,N,Davidson,2024,29,25-29,2023,1
9157,OR03,61368.59,11266,Payroll Specialist 2,Finance,Fulltime,Technicians,F,Black,1961,2023-05-08,Y,Davidson,2024,63,60-64,2023,1
9158,OR03,57400.97,11259,Data Compliance Technician,Human Resources,Fulltime,Professionals,M,Black,1991,2023-05-08,N,Davidson,2024,33,30-34,2023,1
9159,OR01,53624.92,7243,Admin Svcs Officer 2,General Sessions Court,Fulltime,Professionals,M,Black,1988,2023-05-10,N,Davidson,2024,36,35-39,2023,1
9160,OR01,50199.02,2670,Appraiser 2,Assessor of Property,Fulltime,Officials and administrators,F,White,1999,2023-05-10,N,Davidson,2024,25,25-29,2023,1
9162,ST05,40431.54,11035,Concessions Clerk,Parks,Fulltime,Administrative support,F,Black,1986,2023-05-12,N,Davidson,2024,38,35-39,2023,1
9166,TG07,40293.33,10848,Maintenance & Repair Worker,Parks,Fulltime,Service/Maintenance,M,White,2000,2023-05-13,N,Davidson,2024,24,20-24,2023,1
9167,TG07,40293.33,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,M,Black,1996,2023-05-13,N,Davidson,2024,28,25-29,2023,1
9169,TG07,40293.33,4160,Sanitation Worker,Water Services,Fulltime,Service/Maintenance,M,Black,1994,2023-05-13,N,Davidson,2024,30,30-34,2023,1
9171,TG07,40293.33,4160,Sanitation Worker,Water Services,Fulltime,Service/Maintenance,M,Black,1997,2023-05-13,N,Davidson,2024,27,25-29,2023,1
9172,TG07,40293.33,4160,Sanitation Worker,Water Services,Fulltime,Service/Maintenance,M,Black,1961,2023-05-13,N,Davidson,2024,63,60-64,2023,1
9175,TG07,40293.33,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,M,Black,1995,2023-05-13,N,Davidson,2024,29,25-29,2023,1
9176,OR07,80810.37,10868,Assistant Metropolitan Atty 1,Metropolitan Council,Fulltime,Professionals,M,White,1992,2023-05-13,Y,Davidson,2024,32,30-34,2023,1
9177,ET02,47639.57,10408,Emer Telecommunications Off 2,Emergency Communications,Fulltime,Administrative support,M,Two or more,2001,2023-05-15,N,Davidson,2024,23,20-24,2023,1
9179,ST05,40431.54,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,White,1992,2023-05-15,N,Davidson,2024,32,30-34,2023,1
9180,OR04,68020.2,11180,Human Resources Analyst,Human Resources,Fulltime,Professionals,F,Black,1995,2023-05-15,N,Davidson,2024,29,25-29,2023,1
9182,MAC01,40435.2,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1989,2023-05-15,N,Davidson,2024,35,35-39,2023,1
9183,ST07,42425.32,3200,Museum Spec 2,Parks,Fulltime,Paraprofessionals,F,White,1999,2023-05-15,N,Davidson,2024,25,25-29,2023,1
9184,OR06,74117.92,7757,Technical Specialist 2,General Services,Fulltime,Professionals,M,White,1967,2023-05-15,Y,Davidson,2024,57,55-59,2023,1
9185,ST07,42425.32,10969,Utility Field Tech 1,Water Services,Fulltime,Technicians,M,Black,1974,2023-05-15,N,Davidson,2024,50,50-54,2023,1
9187,OR11,115500.0,10870,Assistant Metropolitan Atty 3,Law,Fulltime,Professionals,M,White,1987,2023-05-15,Y,Davidson,2024,37,35-39,2023,1
9188,OR06,74117.92,10132,Pub Info Coord,NDOT,Fulltime,Professionals,M,White,1996,2023-05-15,Y,Davidson,2024,28,25-29,2023,1
9189,OR05,71020.0,6123,Historic Preservationist 1,Historical Commission,Fulltime,Professionals,M,White,1987,2023-05-15,Y,Davidson,2024,37,35-39,2023,1
9191,ET02,47639.57,10408,Emer Telecommunications Off 2,Emergency Communications,Fulltime,Administrative support,F,Black,1995,2023-05-15,N,Davidson,2024,29,25-29,2023,1
9193,ST05,40431.54,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,M,White,1993,2023-05-15,N,Davidson,2024,31,30-34,2023,1
9194,OR01,49186.01,7379,Program Spec 2,Public Library,Fulltime,Professionals,M,Black,1991,2023-05-15,N,Davidson,2024,33,30-34,2023,1
9197,OR09,94249.13,10744,Health Manager 3,Health,Fulltime,Officials and administrators,M,White,1961,2023-05-15,Y,Davidson,2024,63,60-64,2023,1
9198,ST05,40431.54,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,White,1995,2023-05-15,N,Davidson,2024,29,25-29,2023,1
9200,PS02,60501.08,6872,Police Officer 1,Police,Fulltime,Protective service workers,M,Two or more,1999,2023-05-16,N,Davidson,2024,25,25-29,2023,1
9209,PS02B,64131.15,6872,Police Officer 1,Police,Fulltime,Protective service workers,M,White,2001,2023-05-16,N,Davidson,2024,23,20-24,2023,1
9212,PS02B,64131.15,6872,Police Officer 1,Police,Fulltime,Protective service workers,M,White,1996,2023-05-16,N,Davidson,2024,28,25-29,2023,1
9218,ST08,46265.35,6539,Stores Supv,Parks,Fulltime,Administrative support,M,Black,1965,2023-05-19,N,Davidson,2024,59,55-59,2023,1
9221,CA01,37440.0,10708,Ambassador 2-MCC,Convention Center Authority,Fulltime,Service/Maintenance,F,White,1960,2023-05-22,N,Davidson,2024,64,60-64,2023,1
9228,CA01,41600.0,10710,Security & Parking Off 2-MCC,Convention Center Authority,Fulltime,Service/Maintenance,M,White,1963,2023-05-22,N,Davidson,2024,61,60-64,2023,1
9230,OR12,138658.6,10871,Assistant Metropolitan Atty 4,Law,Fulltime,Professionals,M,White,1963,2023-05-22,Y,Davidson,2024,61,60-64,2023,1
9231,NS,34617.0,7405,Social Work Tech,State Trial Courts,Fulltime,Paraprofessionals,M,Hispanic,1996,2023-05-22,N,Davidson,2024,28,25-29,2023,1
9236,CO02,55729.1,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1999,2023-05-26,N,Davidson,2024,25,25-29,2023,1
9237,CO02,55729.1,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1991,2023-05-26,N,Davidson,2024,33,30-34,2023,1
9242,ST07,42425.32,10613,Security Officer 1,Sheriff,Fulltime,Protective service workers,F,Black,2001,2023-05-26,N,Davidson,2024,23,20-24,2023,1
9245,ST07,42425.32,10613,Security Officer 1,Sheriff,Fulltime,Protective service workers,F,Hispanic,1980,2023-05-26,N,Davidson,2024,44,40-44,2023,1
9246,ST07,42425.32,10613,Security Officer 1,Sheriff,Fulltime,Protective service workers,M,Black,2002,2023-05-26,N,Davidson,2024,22,20-24,2023,1
9247,ST07,42425.32,10613,Security Officer 1,Sheriff,Fulltime,Protective service workers,M,Hispanic,1996,2023-05-26,N,Davidson,2024,28,25-29,2023,1
9248,ST07,42425.32,10613,Security Officer 1,Sheriff,Fulltime,Protective service workers,F,Hispanic,1979,2023-05-26,N,Davidson,2024,45,45-49,2023,1
9251,CO02,55729.1,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,2002,2023-05-26,N,Davidson,2024,22,20-24,2023,1
9254,TG07,40293.33,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,M,Black,2000,2023-05-27,N,Davidson,2024,24,20-24,2023,1
9255,OR04,61368.59,11180,Human Resources Analyst,Water Services,Fulltime,Professionals,F,Black,1980,2023-05-27,N,Davidson,2024,44,40-44,2023,1
9256,OR04,61368.59,11180,Human Resources Analyst,Water Services,Fulltime,Professionals,M,White,1989,2023-05-27,N,Davidson,2024,35,35-39,2023,1
9257,TS13,68894.13,6188,Treatment Plant Shift Operator,Water Services,Fulltime,Skilled craft workers,F,White,1987,2023-05-27,Y,Davidson,2024,37,35-39,2023,1
9258,TG07,40293.33,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,M,Black,1985,2023-05-27,N,Davidson,2024,39,35-39,2023,1
9260,OR06,74117.92,7296,Engineer In Training,Water Services,Fulltime,Professionals,M,White,2000,2023-05-27,N,Davidson,2024,24,20-24,2023,1
9261,OR06,74117.92,7296,Engineer In Training,NDOT,Fulltime,Professionals,M,White,1996,2023-05-29,N,Davidson,2024,28,25-29,2023,1
9267,TG12,51011.48,10838,Equipment Operator Senior,NDOT,Fulltime,Service/Maintenance,M,Black,1992,2023-05-29,N,Davidson,2024,32,30-34,2023,1
9269,TG13,53017.55,680,Automotive Mechanic,General Services,Fulltime,Skilled craft workers,M,Black,1974,2023-05-29,N,Davidson,2024,50,50-54,2023,1
9270,OR05,67425.5,7780,Info Systems App Analyst 2,Emergency Communications,Fulltime,Professionals,F,Two or more,1978,2023-05-29,N,Davidson,2024,46,45-49,2023,1
9272,OR01,48699.02,7243,Admin Svcs Officer 2,Juvenile Court Clerk,Fulltime,Professionals,F,Hispanic,1992,2023-05-30,N,Davidson,2024,32,30-34,2023,1
9275,ST07,42425.32,10123,Office Support Spec 1,Health,Fulltime,Administrative support,F,Black,1963,2023-05-30,N,Davidson,2024,61,60-64,2023,1
9288,ET02,47639.57,10408,Emer Telecommunications Off 2,Emergency Communications,Fulltime,Administrative support,M,White,2001,2023-06-05,N,Davidson,2024,23,20-24,2023,1
9289,ET02,47639.57,10408,Emer Telecommunications Off 2,Emergency Communications,Fulltime,Administrative support,F,White,1969,2023-06-05,N,Davidson,2024,55,55-59,2023,1
9291,OR01,50000.0,7243,Admin Svcs Officer 2,Planning Commission,Fulltime,Professionals,F,Black,1993,2023-06-05,N,Davidson,2024,31,30-34,2023,1
9292,OR13,131001.81,6553,Parks & Recreation Asst Dir,Parks,Fulltime,Officials and administrators,M,White,1980,2023-06-05,Y,Davidson,2024,44,40-44,2023,1
9295,OR06,74117.92,6860,Planner 1,Planning Commission,Fulltime,Professionals,F,Asian,1992,2023-06-05,N,Davidson,2024,32,30-34,2023,1
9296,OR03,58883.0,10550,Internal Auditor 1,Internal Audit,Fulltime,Professionals,F,Black,1997,2023-06-06,N,Davidson,2024,27,25-29,2023,1
9297,OR07,87396.41,7242,Admin Svcs Mgr,Community Review Board,Fulltime,Officials and administrators,F,Black,1987,2023-06-08,Y,Davidson,2024,37,35-39,2023,1
9301,TG07,40293.33,10848,Maintenance & Repair Worker,Parks,Fulltime,Service/Maintenance,M,White,1982,2023-06-09,N,Davidson,2024,42,40-44,2023,1
9309,OR01,48699.02,6567,Commun Disease Investigator,Health,Fulltime,Professionals,F,Black,2000,2023-06-10,N,Davidson,2024,24,20-24,2023,1
9310,TG07,40293.33,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,F,Black,1995,2023-06-10,N,Davidson,2024,29,25-29,2023,1
9311,ST06,40200.79,10779,Animal Care & Con Ken Asst 1,Health,Fulltime,Administrative support,F,Hispanic,1996,2023-06-10,N,Davidson,2024,28,25-29,2023,1
9312,TG07,40293.33,4160,Sanitation Worker,Water Services,Fulltime,Service/Maintenance,F,Black,1980,2023-06-10,N,Davidson,2024,44,40-44,2023,1
9313,TG07,40293.33,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,M,Black,1985,2023-06-10,N,Davidson,2024,39,35-39,2023,1
9314,ST08,46265.35,6641,Interpreter 1,Health,Fulltime,Paraprofessionals,F,Asian,1971,2023-06-10,N,Davidson,2024,53,50-54,2023,1
9315,TG07,40293.33,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,M,Black,1985,2023-06-10,N,Davidson,2024,39,35-39,2023,1
9316,ST07,42425.32,11273,Utility Customer Care Agent 1,Water Services,Fulltime,Technicians,F,Black,1972,2023-06-10,N,Davidson,2024,52,50-54,2023,1
9317,TG13,53017.55,680,Automotive Mechanic,General Services,Fulltime,Skilled craft workers,M,Black,1979,2023-06-12,N,Davidson,2024,45,45-49,2023,1
9318,ST05,40431.54,11040,Office Support Rep,Circuit Court Clerk,Fulltime,Administrative support,F,Black,1993,2023-06-12,N,Davidson,2024,31,30-34,2023,1
9319,MAC05D,45000.0,10796,EHS Teacher-MAC,Metro Action Commission,Fulltime,Professionals,F,White,1996,2023-06-12,N,Davidson,2024,28,25-29,2023,1
9321,OR05,67425.5,6123,Historic Preservationist 1,Historical Commission,Fulltime,Professionals,F,White,1999,2023-06-12,Y,Davidson,2024,25,25-29,2023,1
9322,OR01,49186.01,7379,Program Spec 2,Public Library,Fulltime,Professionals,M,Hispanic,1990,2023-06-12,N,Davidson,2024,34,30-34,2023,1
9324,OR05,72058.8,7245,Admin Svcs Officer 4,NDOT,Fulltime,Professionals,F,White,1995,2023-06-12,Y,Davidson,2024,29,25-29,2023,1
9326,MAC07C,44140.8,10798,PF& Comm Engagement Adv II-MAC,Metro Action Commission,Fulltime,Paraprofessionals,F,White,1994,2023-06-12,N,Davidson,2024,30,30-34,2023,1
9327,MAC01,40000.0,10250,Teacher Asst,Metro Action Commission,Fulltime,Administrative support,F,Black,1994,2023-06-12,N,Davidson,2024,30,30-34,2023,1
9328,MAC09B,45000.0,10202,Finance Officer 1,Metro Action Commission,Fulltime,Professionals,F,White,2002,2023-06-12,N,Davidson,2024,22,20-24,2023,1
9330,OR08,89280.33,10108,Finance Admin,Public Library,Fulltime,Officials and administrators,F,White,1991,2023-06-12,N,Davidson,2024,33,30-34,2023,1
9331,OR03,56843.68,10474,Information Sys Media Tech 2,Public Library,Fulltime,Technicians,M,White,1993,2023-06-12,Y,Davidson,2024,31,30-34,2023,1
9333,OR02,52604.11,11322,Family Safety Advocate,Office of Family Safety,Fulltime,Professionals,F,White,2002,2023-06-12,N,Davidson,2024,22,20-24,2023,1
9334,ST05,40431.54,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,Black,1967,2023-06-12,N,Davidson,2024,57,55-59,2023,1
9336,CA01,39520.0,10674,Set Up Staff-Convention Ctr,Convention Center Authority,Fulltime,Technicians,M,White,1973,2023-06-12,N,Davidson,2024,51,50-54,2023,1
9337,ST09,50452.95,6821,Electrical Inspector 1,Codes Administration,Fulltime,Officials and administrators,M,White,1988,2023-06-12,N,Davidson,2024,36,35-39,2023,1
9339,OR01,49186.01,7379,Program Spec 2,Public Library,Fulltime,Professionals,M,Black,2000,2023-06-12,N,Davidson,2024,24,20-24,2023,1
9340,CA01,37440.0,10681,Bldg & Grounds Maint-MCC,Convention Center Authority,Fulltime,Technicians,M,Black,1996,2023-06-12,N,Davidson,2024,28,25-29,2023,1
9342,ST06,40200.79,10855,Security Guard,Public Library,Fulltime,Protective service workers,M,Black,1963,2023-06-12,N,Davidson,2024,61,60-64,2023,1
9344,TG09,44735.36,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,Black,1976,2023-06-12,N,Davidson,2024,48,45-49,2023,1
9345,NS,44917.82,7243,Admin Svcs Officer 2,Election Commission,Fulltime,Professionals,F,White,1965,2023-06-13,N,Davidson,2024,59,55-59,2023,1
9346,ST05,40431.54,11040,Office Support Rep,Circuit Court Clerk,Fulltime,Administrative support,F,Black,1979,2023-06-13,N,Davidson,2024,45,45-49,2023,1
9347,PS03,70215.9,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1996,2023-06-16,N,Davidson,2024,28,25-29,2023,1
9356,PS03B,72261.02,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1993,2023-06-16,N,Davidson,2024,31,30-34,2023,1
9358,PS02B,64131.15,6872,Police Officer 1,Police,Fulltime,Protective service workers,M,Asian,2001,2023-06-16,N,Davidson,2024,23,20-24,2023,1
9360,PS02,60501.08,6872,Police Officer 1,Police,Fulltime,Protective service workers,M,Two or more,1998,2023-06-16,N,Davidson,2024,26,25-29,2023,1
9374,FD05,73191.78,11187,Paramedic,Fire,Fulltime,Technicians,F,White,1995,2023-06-16,N,Davidson,2024,29,25-29,2023,1
9379,OR07,80810.37,6862,Planner 2,Planning Commission,Fulltime,Professionals,F,White,1992,2023-06-20,N,Davidson,2024,32,30-34,2023,1
9381,OR02,52604.11,11322,Family Safety Advocate,Office of Family Safety,Fulltime,Professionals,F,Hispanic,1999,2023-06-20,N,Davidson,2024,25,25-29,2023,1
9382,OR02,54000.0,11322,Family Safety Advocate,Office of Family Safety,Fulltime,Professionals,F,White,2001,2023-06-21,N,Davidson,2024,23,20-24,2023,1
9383,TG07,40293.33,10832,Custodian,Parks,Fulltime,Service/Maintenance,M,White,1983,2023-06-23,N,Davidson,2024,41,40-44,2023,1
9384,TG07,40293.33,10832,Custodian,Parks,Fulltime,Service/Maintenance,F,Black,1964,2023-06-23,N,Davidson,2024,60,60-64,2023,1
9386,ST07,42425.32,10969,Utility Field Tech 1,Water Services,Fulltime,Technicians,M,Black,1999,2023-06-24,N,Davidson,2024,25,25-29,2023,1
9387,OR09,94249.13,11083,Public Health Administrator 3,Health,Fulltime,Professionals,F,Black,1986,2023-06-24,Y,Davidson,2024,38,35-39,2023,1
9388,OR07,80810.37,11082,Public Health Administrator 2,Health,Fulltime,Professionals,M,White,1991,2023-06-24,Y,Davidson,2024,33,30-34,2023,1
9389,ST07,42425.32,10782,Animal Care & Con Officer 1,Health,Fulltime,Service/Maintenance,M,Native,1997,2023-06-24,N,Davidson,2024,27,25-29,2023,1
9390,OR07,80810.37,10905,Epidemiologist 1,Health,Fulltime,Professionals,F,Black,1997,2023-06-24,Y,Davidson,2024,27,25-29,2023,1
