Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
TG09,44735.36,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,White,1990,2022-05-03,N,Davidson,2024,34,30-34,2022,2
CA07,50000.0,11140,Guest Experience and Sustainability Mgr-MCC,Convention Center Authority,Fulltime,Professionals,M,White,1997,2022-05-09,Y,Rutherford,2024,27,25-29,2022,2
OR04,61368.59,10851,Police Crisis Counselor,Police,Fulltime,Professionals,F,White,1992,2022-05-09,N,Davidson,2024,32,30-34,2022,2
ST09,57179.85,10891,Victim Advocate 1,District Attorney,Fulltime,Professionals,F,White,1997,2022-05-09,Y,Davidson,2024,27,25-29,2022,2
NS,0.0,9020,Seasonal/Part-time/Temporary,Parks,Pool,Service/Maintenance,F,White,1977,2022-05-13,N,Davidson,2024,47,45-49,2022,2
NS,0.0,9020,Seasonal/Part-time/Temporary,Parks,Pool,Service/Maintenance,F,White,1956,2022-05-13,N,Davidson,2024,68,65-69,2022,2
NS,0.0,9108,Sports Official,Parks,Pool,Service/Maintenance,M,Black,1960,2022-05-13,N,Davidson,2024,64,60-64,2022,2
RS04,10108.8,9104,Seasonal Worker 2,Parks,Seasonal,Service/Maintenance,M,White,1955,2022-05-13,N,Davidson,2024,69,65-69,2022,2
OR06,79867.03,7783,Info Systems App Analyst 3,Information Technology Services,Fulltime,Professionals,M,White,1971,2022-05-14,Y,Wilson,2024,53,50-54,2022,2
OR10,105895.65,6489,Public Hlth Nurse Practitioner,Health,Fulltime,Professionals,F,White,1970,2022-05-14,Y,Dickson,2024,54,50-54,2022,2
ST06,41497.56,10779,Animal Care & Con Ken Asst 1,Health,Fulltime,Administrative support,F,Black,1989,2022-05-14,N,Davidson,2024,35,35-39,2022,2
TG07,41502.13,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,M,Black,1988,2022-05-14,N,Sumner,2024,36,35-39,2022,2
ST07,43839.47,11273,Utility Customer Care Agent 1,Water Services,Fulltime,Technicians,M,White,1966,2022-05-14,N,Davidson,2024,58,55-59,2022,2
ST07,43839.47,11273,Utility Customer Care Agent 1,Water Services,Fulltime,Technicians,F,Black,1969,2022-05-14,N,Davidson,2024,55,55-59,2022,2
TG07,41502.13,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,M,White,1976,2022-05-14,N,Davidson,2024,48,45-49,2022,2
ST07,45253.62,11273,Utility Customer Care Agent 1,Water Services,Fulltime,Technicians,F,Black,1975,2022-05-14,N,Davidson,2024,49,45-49,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1999,2022-05-16,N,Wilson,2024,25,25-29,2022,2
FD05,73191.78,11187,Paramedic,Fire,Fulltime,Technicians,M,Hispanic,2000,2022-05-16,N,Rutherford,2024,24,20-24,2022,2
ST09,52134.67,6922,Property Stan Insp 1,Codes Administration,Fulltime,Officials and administrators,M,Black,1990,2022-05-16,N,Davidson,2024,34,30-34,2022,2
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1980,2022-05-16,N,Robertson,2024,44,40-44,2022,2
ST09,52134.67,10891,Victim Advocate 1,District Attorney,Fulltime,Professionals,F,Black,2000,2022-05-16,Y,Davidson,2024,24,20-24,2022,2
PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1987,2022-05-16,N,Sumner,2024,37,35-39,2022,2
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Two or more,1983,2022-05-16,N,Wilson,2024,41,40-44,2022,2
FD03,60173.03,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,F,Black,1989,2022-05-16,N,Sumner,2024,35,35-39,2022,2
OR05,74869.26,10721,Crime Lab Forensic Scientist 2,Police,Fulltime,Professionals,M,White,1996,2022-05-16,N,Sumner,2024,28,25-29,2022,2
OR06,43390.46,7757,Technical Specialist 2,Police,Parttime,Professionals,M,Hispanic,1965,2022-05-16,Y,Davidson,2024,59,55-59,2022,2
NS,42103.3,7241,Admin Asst,Mayor's Office,Fulltime,Administrative support,F,Black,1957,2022-05-16,N,Davidson,2024,67,65-69,2022,2
FD05,73191.78,11187,Paramedic,Fire,Fulltime,Technicians,F,White,1981,2022-05-16,N,Davidson,2024,43,40-44,2022,2
OR09,108388.45,10863,Admin Svcs Division Manager,Public Defender,Fulltime,Officials and administrators,F,Asian,1976,2022-05-16,Y,Davidson,2024,48,45-49,2022,2
PS03,66185.22,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1987,2022-05-16,N,Rutherford,2024,37,35-39,2022,2
PS03A,68170.78,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Two or more,1992,2022-05-16,N,Robertson,2024,32,30-34,2022,2
FD03A,61978.22,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,F,White,1990,2022-05-16,N,Sumner,2024,34,30-34,2022,2
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1987,2022-05-16,N,Wilson,2024,37,35-39,2022,2
OR06,76341.46,7783,Info Systems App Analyst 3,Election Commission,Fulltime,Professionals,F,Black,1980,2022-05-16,N,Rutherford,2024,44,40-44,2022,2
FD03,60173.03,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,F,White,1982,2022-05-16,N,Sumner,2024,42,40-44,2022,2
FD03,60173.03,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1982,2022-05-16,N,Sumner,2024,42,40-44,2022,2
FD03,60173.03,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1979,2022-05-16,N,Sumner,2024,45,45-49,2022,2
PS03,66185.22,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1996,2022-05-16,N,Wilson,2024,28,25-29,2022,2
FD05,73191.78,11187,Paramedic,Fire,Fulltime,Technicians,F,White,1997,2022-05-16,N,Montgomery,2024,27,25-29,2022,2
FD05,73191.78,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1987,2022-05-16,N,Sumner,2024,37,35-39,2022,2
FD05A,75387.54,11187,Paramedic,Fire,Fulltime,Technicians,M,White,2000,2022-05-16,N,Williamson,2024,24,20-24,2022,2
PS03,66185.22,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1995,2022-05-16,N,Davidson,2024,29,25-29,2022,2
FD03,60173.03,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,F,White,1997,2022-05-16,N,Williamson,2024,27,25-29,2022,2
OR01,50038.24,7243,Admin Svcs Officer 2,Juvenile Court,Fulltime,Professionals,F,Black,1979,2022-05-16,N,Davidson,2024,45,45-49,2022,2
PS03,66185.22,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1999,2022-05-16,N,Sumner,2024,25,25-29,2022,2
FD05B,77583.3,11187,Paramedic,Fire,Fulltime,Technicians,F,White,1975,2022-05-16,N,Wilson,2024,49,45-49,2022,2
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1988,2022-05-16,N,Stewart,2024,36,35-39,2022,2
PS03A,68170.78,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1997,2022-05-16,N,Rutherford,2024,27,25-29,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1994,2022-05-16,N,Cheatham,2024,30,30-34,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1999,2022-05-16,N,Davidson,2024,25,25-29,2022,2
FD03A,61978.22,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,Black,1975,2022-05-16,N,Wilson,2024,49,45-49,2022,2
FD03,60173.03,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1997,2022-05-16,N,Rutherford,2024,27,25-29,2022,2
PS03A,72322.38,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1991,2022-05-16,N,Rutherford,2024,33,30-34,2022,2
PS03,70215.9,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1995,2022-05-16,N,Sumner,2024,29,25-29,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Two or more,1988,2022-05-16,N,Cheatham,2024,36,35-39,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,Black,1986,2022-05-16,N,Rutherford,2024,38,35-39,2022,2
ST09,52134.67,2890,Librarian 1,Public Library,Fulltime,Professionals,F,White,1971,2022-05-16,N,Davidson,2024,53,50-54,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1998,2022-05-16,N,Sumner,2024,26,25-29,2022,2
ST08,46265.35,10124,Office Support Spec 2,County Clerk,Fulltime,Administrative support,M,White,1985,2022-05-16,N,Davidson,2024,39,35-39,2022,2
TG10,46712.75,10837,Equipment Operator,NDOT,Fulltime,Service/Maintenance,M,White,1990,2022-05-16,N,Davidson,2024,34,30-34,2022,2
FD05B,77583.3,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1989,2022-05-16,N,Robertson,2024,35,35-39,2022,2
PS03,70215.9,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1975,2022-05-16,N,Williamson,2024,49,45-49,2022,2
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Hispanic,1987,2022-05-16,N,Sumner,2024,37,35-39,2022,2
PS03B,74428.85,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,Two or more,1989,2022-05-16,N,Sumner,2024,35,35-39,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1994,2022-05-16,N,Cheatham,2024,30,30-34,2022,2
FD03B,63783.41,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1990,2022-05-16,N,Wilson,2024,34,30-34,2022,2
OR04,61368.59,10851,Police Crisis Counselor,Police,Fulltime,Professionals,F,White,1999,2022-05-16,N,Davidson,2024,25,25-29,2022,2
ST09,53816.4,2890,Librarian 1,Public Library,Fulltime,Professionals,F,White,1993,2022-05-16,N,Davidson,2024,31,30-34,2022,2
PS03,66185.22,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1997,2022-05-16,N,Wilson,2024,27,25-29,2022,2
FD05,73191.78,11187,Paramedic,Fire,Fulltime,Technicians,M,White,1997,2022-05-16,N,Davidson,2024,27,25-29,2022,2
NS,45354.4,6034,Program Coord,Sheriff,Parttime,Professionals,M,White,1966,2022-05-17,N,Hickman,2024,58,55-59,2022,2
NS,35672.0,11163,DCSO Facility Officer,Sheriff,Parttime,Professionals,F,Black,1975,2022-05-23,N,Davidson,2024,49,45-49,2022,2
NS,35672.0,11163,DCSO Facility Officer,Sheriff,Parttime,Professionals,M,Black,1975,2022-05-23,N,Davidson,2024,49,45-49,2022,2
ST08,47807.51,7419,Warrant Officer 1,Juvenile Court,Fulltime,Protective service workers,M,Black,1993,2022-05-23,N,Davidson,2024,31,30-34,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,White,1988,2022-05-23,N,Davidson,2024,36,35-39,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Black,1971,2022-05-23,N,Davidson,2024,53,50-54,2022,2
ST08,47807.51,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Hispanic,1994,2022-05-23,N,Rutherford,2024,30,30-34,2022,2
NS,35672.0,11163,DCSO Facility Officer,Sheriff,Parttime,Professionals,F,Black,1984,2022-05-23,N,Davidson,2024,40,40-44,2022,2
ST07,45253.62,7711,Sheriff Prisoner Processor 1,Sheriff,Fulltime,Administrative support,M,Black,1971,2022-05-23,N,Davidson,2024,53,50-54,2022,2
NS,35672.0,11163,DCSO Facility Officer,Sheriff,Parttime,Professionals,F,Black,1971,2022-05-23,N,Rutherford,2024,53,50-54,2022,2
ST07,43839.47,7335,Naturalist 2,Parks,Fulltime,Professionals,F,White,1996,2022-05-24,N,Davidson,2024,28,25-29,2022,2
NS,53295.0,10816,Satellite position,Register of Deeds,Fulltime,Professionals,F,Black,1994,2022-05-24,N,Davidson,2024,30,30-34,2022,2
OR05,73394.32,7769,Info Sys Comm Analyst 2,Information Technology Services,Fulltime,Professionals,M,Black,1953,2022-05-28,Y,Montgomery,2024,71,70-74,2022,2
TL09,50623.15,10972,Utility Maintenance Spec 1,Water Services,Fulltime,Technicians,M,Black,1992,2022-05-28,N,Davidson,2024,32,30-34,2022,2
TG10,46712.75,10837,Equipment Operator,NDOT,Fulltime,Service/Maintenance,M,Black,1987,2022-05-30,N,Davidson,2024,37,35-39,2022,2
OR01,49673.0,7379,Program Spec 2,Public Library,Fulltime,Professionals,F,White,1996,2022-05-30,N,Williamson,2024,28,25-29,2022,2
OR07,86564.07,4855,Library Mgr 3,Public Library,Fulltime,Professionals,F,White,1966,2022-05-30,N,Davidson,2024,58,55-59,2022,2
ST05,41620.67,11040,Office Support Rep,Public Library,Fulltime,Administrative support,F,Black,1951,2022-05-30,N,Davidson,2024,73,70-74,2022,2
ST08,47807.51,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,Black,1995,2022-05-30,N,Rutherford,2024,29,25-29,2022,2
OR01,49673.0,7379,Program Spec 2,Public Library,Fulltime,Professionals,M,White,1983,2022-05-30,N,Davidson,2024,41,40-44,2022,2
TG09,46077.43,10849,Maintenance & Repair Worker Se,Public Library,Fulltime,Service/Maintenance,M,Black,1993,2022-05-30,N,Sumner,2024,31,30-34,2022,2
OR03,63209.64,11266,Payroll Specialist 2,Finance,Fulltime,Technicians,F,Two or more,1963,2022-05-30,Y,Davidson,2024,61,60-64,2022,2
ST09,52134.67,2890,Librarian 1,Public Library,Fulltime,Professionals,F,White,1995,2022-05-30,N,Davidson,2024,29,25-29,2022,2
MAC11A,72679.75,11218,Family and Community Services Manager-MAC,Metro Action Commission,Fulltime,Professionals,F,Black,1977,2022-05-31,N,Davidson,2024,47,45-49,2022,2
OR01,48967.12,7243,Admin Svcs Officer 2,Juvenile Court Clerk,Fulltime,Professionals,F,White,1995,2022-05-31,N,Davidson,2024,29,25-29,2022,2
ST07,15697.37,7335,Naturalist 2,Parks,Parttime,Professionals,F,White,1996,2022-05-31,N,Davidson,2024,28,25-29,2022,2
OR05,73615.16,10758,Public Health Nurse 1,Health,Fulltime,Professionals,F,White,1962,2022-05-31,N,Davidson,2024,62,60-64,2022,2
NS,64000.0,7790,Judicial Asst 1,State Trial Courts,Fulltime,Protective service workers,F,White,1957,2022-06-01,N,Cheatham,2024,67,65-69,2022,2
PS05,86884.31,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1984,2022-06-01,N,Davidson,2024,40,40-44,2022,2
OR06,43390.46,7757,Technical Specialist 2,Police,Parttime,Professionals,M,White,1965,2022-06-01,Y,Wilson,2024,59,55-59,2022,2
OR04,63209.65,11177,Finance Officer,Fire,Fulltime,Professionals,F,White,1986,2022-06-01,N,Wilson,2024,38,35-39,2022,2
OR01,48699.02,7243,Admin Svcs Officer 2,Fire,Fulltime,Professionals,F,Black,1972,2022-06-01,N,Davidson,2024,52,50-54,2022,2
NS,116591.52,10816,Satellite position,Circuit Court Satellite,Satellite (Quasi),Professionals,M,Black,1979,2022-06-01,N,Davidson,2024,45,45-49,2022,2
OR07,107751.16,7242,Admin Svcs Mgr,General Sessions Court,Fulltime,Officials and administrators,F,White,1981,2022-06-06,Y,Rutherford,2024,43,40-44,2022,2
OR05,67426.0,7377,Program Mgr 2,Office of Family Safety,Fulltime,Officials and administrators,F,Black,1998,2022-06-06,N,Davidson,2024,26,25-29,2022,2
OR07,84428.89,6862,Planner 2,Planning Commission,Fulltime,Professionals,F,White,1994,2022-06-06,Y,Davidson,2024,30,30-34,2022,2
NS,1103.25,9020,Seasonal/Part-time/Temporary,County Clerk,Parttime,Service/Maintenance,M,Black,2003,2022-06-06,N,Davidson,2024,21,20-24,2022,2
OR03,64248.91,10854,Social Worker Senior,Public Defender,Fulltime,Professionals,F,Black,1983,2022-06-06,Y,Maury,2024,41,40-44,2022,2
ST08,46265.35,10124,Office Support Spec 2,County Clerk,Fulltime,Administrative support,F,Black,1964,2022-06-06,N,Davidson,2024,60,60-64,2022,2
NS,21166.08,9020,Seasonal/Part-time/Temporary,County Clerk,Parttime,Service/Maintenance,F,Black,1957,2022-06-06,N,Sumner,2024,67,65-69,2022,2
NS,17082.62,9020,Seasonal/Part-time/Temporary,County Clerk,Parttime,Service/Maintenance,M,Black,2001,2022-06-06,N,Davidson,2024,23,20-24,2022,2
OR06,80788.53,10132,Pub Info Coord,Social Services,Fulltime,Professionals,F,Black,1980,2022-06-06,Y,Sumner,2024,44,40-44,2022,2
OR05,72199.54,7245,Admin Svcs Officer 4,Metropolitan Clerk,Fulltime,Professionals,M,White,1971,2022-06-07,Y,Sumner,2024,53,50-54,2022,2
ST07,32879.6,6880,Recreation Leader,Parks,Parttime,Paraprofessionals,F,Black,2001,2022-06-10,N,Davidson,2024,23,20-24,2022,2
TL11,53905.95,10847,Maintenance & Repair Leader,Parks,Fulltime,Service/Maintenance,M,White,1972,2022-06-10,N,Cheatham,2024,52,50-54,2022,2
TG07,41502.13,10977,Utility Maintenance Tech,Water Services,Fulltime,Technicians,M,Black,1976,2022-06-11,N,Davidson,2024,48,45-49,2022,2
OR03,57400.97,11214,Enviromental Health Specialist,Health,Fulltime,Professionals,F,Asian,1986,2022-06-11,N,Davidson,2024,38,35-39,2022,2
TG11,50387.02,6229,Treatment Plant Tech 1,Water Services,Fulltime,Skilled craft workers,M,White,1973,2022-06-11,N,Montgomery,2024,51,50-54,2022,2
OR10,105895.65,6489,Public Hlth Nurse Practitioner,Health,Fulltime,Professionals,F,Black,1977,2022-06-11,Y,Montgomery,2024,47,45-49,2022,2
ST06,41497.56,11041,Office Support Rep Sr,Health,Fulltime,Administrative support,F,Black,1992,2022-06-11,N,Montgomery,2024,32,30-34,2022,2
TG11,50387.02,6229,Treatment Plant Tech 1,Water Services,Fulltime,Skilled craft workers,M,White,1999,2022-06-11,N,Sumner,2024,25,25-29,2022,2
ST06,41497.56,10855,Security Guard,Public Library,Fulltime,Protective service workers,F,White,1978,2022-06-13,N,Cheatham,2024,46,45-49,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,White,1987,2022-06-13,N,Robertson,2024,37,35-39,2022,2
OR03,55729.1,7244,Admin Svcs Officer 3,Codes Administration,Fulltime,Professionals,M,White,1998,2022-06-13,N,Davidson,2024,26,25-29,2022,2
ST05,41620.67,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,Black,2003,2022-06-13,N,Davidson,2024,21,20-24,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Black,1975,2022-06-13,N,Rutherford,2024,49,45-49,2022,2
ST08,46265.35,7419,Warrant Officer 1,Juvenile Court,Fulltime,Protective service workers,F,Hispanic,1997,2022-06-13,N,Davidson,2024,27,25-29,2022,2
OR02,54182.23,10473,Information Sys Media Tech 1,Public Library,Fulltime,Technicians,F,White,2000,2022-06-13,N,Davidson,2024,24,20-24,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,F,Black,1972,2022-06-13,N,Davidson,2024,52,50-54,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Black,1957,2022-06-13,N,Davidson,2024,67,65-69,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,F,Black,1990,2022-06-13,N,Davidson,2024,34,30-34,2022,2
NS,35672.0,11163,DCSO Facility Officer,Sheriff,Parttime,Professionals,M,White,1976,2022-06-13,N,Dickson,2024,48,45-49,2022,2
ST10,55729.1,7323,Librarian 2,Public Library,Fulltime,Professionals,F,White,1994,2022-06-13,N,Davidson,2024,30,30-34,2022,2
ST05,41620.67,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,White,1976,2022-06-13,N,Hickman,2024,48,45-49,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Black,1962,2022-06-13,N,Davidson,2024,62,60-64,2022,2
ST07,45253.62,11023,Criminal Warrant Processor,Sheriff,Fulltime,Professionals,M,White,1997,2022-06-13,N,Davidson,2024,27,25-29,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,White,1968,2022-06-13,N,Robertson,2024,56,55-59,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Two or more,1991,2022-06-13,N,Montgomery,2024,33,30-34,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Black,1965,2022-06-13,N,Davidson,2024,59,55-59,2022,2
NS,33103.62,7243,Admin Svcs Officer 2,Sheriff,Parttime,Professionals,M,White,1946,2022-06-13,N,Davidson,2024,78,75-79,2022,2
ST07,43839.47,10135,Security Officer 2-Gen Sess Ct,General Sessions Court,Fulltime,Protective service workers,M,White,1966,2022-06-13,N,Sumner,2024,58,55-59,2022,2
OR01,49673.0,7379,Program Spec 2,Public Library,Fulltime,Professionals,F,White,1972,2022-06-13,N,Davidson,2024,52,50-54,2022,2
OR04,62595.96,11251,Accounts Payable Specialist 3,Finance,Fulltime,Technicians,F,Black,1990,2022-06-13,Y,Davidson,2024,34,30-34,2022,2
PS03,66185.22,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,Black,1998,2022-06-13,N,Davidson,2024,26,25-29,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,F,Black,1990,2022-06-13,N,Davidson,2024,34,30-34,2022,2
OR01,48699.02,7243,Admin Svcs Officer 2,Municipal Auditorium,Fulltime,Professionals,M,Black,1980,2022-06-13,N,Davidson,2024,44,40-44,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Hispanic,1995,2022-06-13,N,Wilson,2024,29,25-29,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Asian,1988,2022-06-13,N,Davidson,2024,36,35-39,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,Black,1963,2022-06-13,N,Davidson,2024,61,60-64,2022,2
ST05,41620.67,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,White,1998,2022-06-13,N,Davidson,2024,26,25-29,2022,2
ST08,47807.51,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,White,1966,2022-06-13,N,Davidson,2024,58,55-59,2022,2
ST05,41620.67,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,White,1973,2022-06-13,N,Davidson,2024,51,50-54,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,F,White,1959,2022-06-13,N,Davidson,2024,65,65-69,2022,2
ST07,32879.6,6880,Recreation Leader,Parks,Parttime,Paraprofessionals,F,White,2004,2022-06-14,N,Davidson,2024,20,20-24,2022,2
ST07,20364.15,6880,Recreation Leader,Parks,Parttime,Paraprofessionals,M,Two or more,2005,2022-06-14,N,Davidson,2024,19,15-19 ,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1998,2022-06-16,N,Sumner,2024,26,25-29,2022,2
OR06,82263.04,10722,Crime Lab Forensic Scientist 3,Police,Fulltime,Professionals,F,Black,1990,2022-06-16,N,Rutherford,2024,34,30-34,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1999,2022-06-16,N,Sumner,2024,25,25-29,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1996,2022-06-16,N,Wilson,2024,28,25-29,2022,2
OR06,43390.46,7757,Technical Specialist 2,Police,Parttime,Professionals,M,White,1964,2022-06-16,Y,Davidson,2024,60,60-64,2022,2
ST05,41620.67,11040,Office Support Rep,Parks,Fulltime,Administrative support,F,White,2003,2022-06-16,N,Cheatham,2024,21,20-24,2022,2
PS03B,70156.33,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,1999,2022-06-16,N,Sumner,2024,25,25-29,2022,2
PS03A,68170.78,7356,Police Officer 2,Police,Fulltime,Protective service workers,M,White,1990,2022-06-16,N,Rutherford,2024,34,30-34,2022,2
ST07,21042.95,6880,Recreation Leader,Parks,Parttime,Paraprofessionals,M,Black,2003,2022-06-16,N,Davidson,2024,21,20-24,2022,2
PS03,66185.22,7356,Police Officer 2,Police,Fulltime,Protective service workers,F,White,2000,2022-06-16,N,Williamson,2024,24,20-24,2022,2
ST07,43839.47,10135,Security Officer 2-Gen Sess Ct,General Sessions Court,Fulltime,Protective service workers,M,White,1977,2022-06-20,N,Humphreys,2024,47,45-49,2022,2
ST06,41497.56,6485,Outreach Worker,Health,Fulltime,Paraprofessionals,F,Black,1971,2022-06-20,N,Davidson,2024,53,50-54,2022,2
CA04,52000.0,10732,Engineering Tech 2-MCC,Convention Center Authority,Fulltime,Technicians,M,White,1968,2022-06-20,N,Davidson,2024,56,55-59,2022,2
ST07,45253.62,10123,Office Support Spec 1,Health,Fulltime,Administrative support,F,Black,1983,2022-06-21,N,Davidson,2024,41,40-44,2022,2
OR11,121700.8,6559,Judicial Commissioner,General Sessions Court,Fulltime,Officials and administrators,M,Black,1978,2022-06-24,Y,Davidson,2024,46,45-49,2022,2
TG09,44735.36,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,Asian,1995,2022-06-24,N,Robertson,2024,29,25-29,2022,2
OR11,107507.4,6559,Judicial Commissioner,General Sessions Court,Parttime,Officials and administrators,M,Black,1983,2022-06-24,Y,Davidson,2024,41,40-44,2022,2
OR05,73615.16,10758,Public Health Nurse 1,Health,Fulltime,Professionals,F,White,1985,2022-06-25,N,Rutherford,2024,39,35-39,2022,2
OR05,69448.27,10644,Nutritionist 4,Health,Fulltime,Professionals,F,White,1991,2022-06-25,Y,Davidson,2024,33,30-34,2022,2
ST08,52433.92,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,White,1977,2022-06-26,N,Wilson,2024,47,45-49,2022,2
OR02,57163.07,6034,Program Coord,Parks,Fulltime,Professionals,F,Black,1987,2022-06-27,Y,Cheatham,2024,37,35-39,2022,2
CO02,57586.42,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,F,Black,1998,2022-06-27,N,Sumner,2024,26,25-29,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,F,Black,1987,2022-06-27,N,Montgomery,2024,37,35-39,2022,2
OR01,48967.12,7243,Admin Svcs Officer 2,Juvenile Court Clerk,Fulltime,Professionals,F,Black,1975,2022-06-27,N,Montgomery,2024,49,45-49,2022,2
ST06,45387.85,1340,Ct Clerk,Circuit Court Clerk,Fulltime,Administrative support,F,White,1969,2022-06-27,N,Robertson,2024,55,55-59,2022,2
CO02,55729.1,6981,Correctional Officer 2,Sheriff,Fulltime,Protective service workers,M,Black,1987,2022-06-27,N,Davidson,2024,37,35-39,2022,2
OR01,50159.99,7375,Probation Officer 1,General Sessions Court,Fulltime,Professionals,M,Black,1997,2022-06-27,N,Davidson,2024,27,25-29,2022,2
OR10,105895.65,6232,Finance Mgr,Finance,Fulltime,Officials and administrators,M,Black,1975,2022-06-27,Y,Rutherford,2024,49,45-49,2022,2
ST08,46265.35,10614,Security Officer 2,Sheriff,Fulltime,Administrative support,M,White,2000,2022-06-27,N,Davidson,2024,24,20-24,2022,2
